Country Name,Country Code,gdp,lit_rate,inflation_rate,urban_rate,export,labor_rate,unemployment_rate,gov_spend,primary_rate
Namibia,NAM,4395.687762,,6.728582346,47.961,35.00946742,60.453,23.35199928,,
New Caledonia,NCL,30782.85444,,0.5783174355,69.821,19.26548639,,13.68299961,,
Niger,NER,502.7064754,,1.653889224,16.29,12.18333889,,0.5049999952,2.99045,71.62694
Nigeria,NGA,2070.412734,58.22134018,15.69681264,48.683,,74.582,7.059999943,,
Nicaragua,NIC,2131.688285,,3.523173176,58.09,38.88197843,,3.900000095,4.08115,
Netherlands,NLD,46808.52915,,0.3166666667,90.635,80.90950116,64.077,6.006000042,5.4796,
Norway,NOR,70867.361,,3.55,81.485,35.93817143,70.518,4.678999901,8.03055,100.85543
Nepal,NPL,877.2564547,65.50100708,8.79034332,18.942,8.17957804,,1.44599998,4.44099,116.80219
Nauru,NRU,8724.307003,,,100,72.58594433,,,,131.01852
New Zealand,NZL,40070.89566,,0.6462402845,86.4,26.63981397,69.96,5.099999905,6.43335,
OECD members,OED,36253.80028,,0.4432581576,80.19236289,26.48816419,60.3109348,6.315036884,,98.66965
Oman,OMN,17110.18975,,1.109208058,82.5,41.31962474,70.773,3.269999981,,103.64806
Other small states,OSS,12174.15742,84.58422089,0.6427027715,57.88078025,67.51320957,,,,84.73335
Pakistan,PAK,1424.691612,,3.765119164,36.234,8.736717247,48.93,3.789000034,3.00292,64.95687
Panama,PAN,14832.36116,,0.7397340253,67.027,41.74075548,63.948,3.315000057,,
Peru,PER,6217.036,94,3.557176636,77.539,22.60031374,75.377,3.535000086,3.81317,104.52887
Philippines,PHL,2985.19564,,1.253698801,46.475,26.67300334,61.59,2.707999945,,
Palau,PLW,16762.57234,,-1.042305334,78.775,49.18834755,,,,
Papua New Guinea,PNG,2316.394798,,6.673728814,13.05,,,2.539000034,,77.12385
Poland,POL,12464.01105,,-0.6647673314,60.178,49.90642886,56.484,6.160999775,4.63922,101.75036
Pre-demographic dividend,PRE,1300.835301,61.07239914,4.664662358,40.33547603,18.76035735,,,,68.04643
Puerto Rico,PRI,30627.1634,,,93.602,68.75816467,,11.80000019,,
"Korea, Dem. People's Rep.",PRK,,,,61.471,,,2.84800005,,
Portugal,PRT,19980.28089,,0.6073970746,64.086,40.35508893,58.445,11.06599998,,
Paraguay,PRY,5775.159634,95,4.086822806,61.026,37.14323291,69.966,5.255000114,3.43834,
West Bank and Gaza,PSE,3527.613824,97,-0.2191066049,75.628,14.3267945,43.769,23.93899918,5.71773,97.05693
Pacific island small states,PSS,3844.355132,,1.073393889,38.11715671,41.79525186,,,,98.28354
Post-demographic dividend,PST,41527.36633,,0.6073970746,80.91534681,27.54626043,60.81801391,,,98.30354
French Polynesia,PYF,19690.07757,,,61.734,19.61263411,,13.25599957,,
Qatar,QAT,61253.63755,,2.676591701,99.015,47.71384149,91.81,0.150000006,,94.74805
Romania,ROU,9404.540059,,-1.544796668,53.9,42.41633517,53.723,5.901000023,2.97411,91.86003
Russian Federation,RUS,8663.158203,,7.04244763,74.164,25.85448298,69.511,5.559000015,3.76044,96.14293
Rwanda,RWA,729.5191542,,7.17434302,17.056,15.42180316,,1.113000035,3.4193,69.06014
South Asia,SAS,1663.620307,71.10578156,4.171390211,33.17541753,17.53917407,,5.183396839,2.500319958,91.8988
Saudi Arabia,SAU,21515.66001,,2.068840361,83.401,30.15915916,54.95,5.650000095,,103.10395
Sudan,SDN,1033.215942,,17.75025383,34.121,5.004491007,,17.22299957,,59.83708
